componentName,timeDifference
/,3.196
/cart,2.667
/,6.428
Does this purchase align with your environmental values?,6.659
/product/Women/true/14717,13.243
/,14.417
Will you wear this item more than once a month?,4.235
/product/Women/true/57095,6.843
/,30.323
Are you sure you are not buying this just to impress others? Do you genuinely like it?,8.651
/product/Women/true/34756,16.52
/,17.456
Are you sure you are not overspending on this purchase?,3.48
/product/Women/true/52193,9.022
/cart,2.005
/,12.419
Are you sure you are not buying this item on impulse? Do you really need it?,3.789
/product/Women/false/59777,10.946
/,6.134
Does this purchase align with your environmental values?,2.292
/product/Women/true/30002,8.856
/,35.233
/cart,6.329
