componentName,timeDifference
/,55.031
/product/Women/true/57095,9.818999999999999
/,11.4
/product/Women/true/10498,8.134
/,75.852
/product/Women/true/20011,8.939
/cart,3.943
/,23.5
/cart,8.173
/,53.622
/product/Women/true/52193,4.55
/,19.66
/product/Women/true/6880,7.864
/cart,4.035
/,15.257
/product/Women/true/19724,2.872
/,60.588
/product/Women/false/40409,8.477
/cart,4.169
/,20.303
/product/Women/true/22714,5.139
/cart,7.805
/,33.67
/cart,5.179
/,8.86
/men,27.434
/cart,2.651
/,9.65
/product/Women/false/13386,3.474
/cart,4.825
/,17.684
/product/Women/false/30956,6.859
/cart,23.363
